ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.14999999999999997,0.22500000000000003,True,-0.4576973505919846,1.589379775103551e-09,0.04418356817468303,0.6803284533657197,0.5097054066971073,0.24988812564297244,0.1604504462247708,0.27823903209382517,0.07399472925573439,0.0010994001880328997
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.14999999999999997,0.22500000000000003,True,-0.45886599094278474,2.212268744057364e-09,0.003472478421718915,0.6900795881795502,0.5155485820159592,0.21449301243770813,0.1802379438910129,0.18184708332443617,0.22708896255942995,3.141801807318326
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.14999999999999997,0.22500000000000003,False,-0.4674581913440487,0.0009418323841998661,0.1557002452883262,0.7021493081178609,0.49455465194995263,3.0334550371602376e-08,0.2460379623906206,0.13106043560611705,6.727200156744773e-05,6.283009276412923,1.571232181599069
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.14999999999999997,0.22500000000000003,False,-0.5109012095497566,0.011799528657810787,0.11785135333770687,0.7930742839713338,0.5021334530812214,0.16150951257325752,4.667304320804533e-10,3.0670824030826216e-05,6.6196186587763606e-09,1.5710955038099288,3.1413753139191516
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.14999999999999997,0.22500000000000003,False,-0.5060607224427957,1.4812525561517085e-09,0.01677632216270693,0.7914898561795359,0.5030165884998314,3.620273748061731e-05,3.989463438816565e-05,4.361594326188212e-05,5.8350005155138884e-06,1.5712131829947669,1.570569829337362
