ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,-0.15,False,-0.4736567926928079,1.8546639819771398e-10,0.006362027556224269,0.7257218333407578,0.5181622415047648,0.00016310963712323767,0.18131363046196713,0.0,0.1270613281415376,4.713050201946361
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,-0.15,False,-0.5054894770222097,0.0009507971275254514,0.1392076716917971,0.7780926791610155,0.502738130687041,0.0,1.365067947567411e-08,3.269167337877077e-05,0.0,4.712076872729025,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,-0.15,False,-0.5060607288590494,2.394682870199032e-10,0.016798458647433658,0.7914920567455878,0.5030179795747507,0.0,4.002133441788347e-06,0.0,3.7580292477079613e-06,4.712362317315076,0.0
