ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.07500000000000001,0.14999999999999997,False,-0.500037083869489,8.07029841432918e-10,0.00504447238823474,0.7947564571749606,0.5204860622953184,0.34252833578691844,0.19596636083457786,0.36970745181924736,0.14334385576451156,0.00017264638148988646
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.07500000000000001,0.14999999999999997,False,-0.46551553063960155,1.2503839612694e-09,0.0033180341560523027,0.7010083483286206,0.5114546601843126,0.0004587304639911416,0.16784653117312326,0.18166098226824673,0.20427458845062038,4.709385375494048
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.07500000000000001,0.14999999999999997,False,-0.4714356788520547,0.00027851561489492107,0.14782077593679546,0.7092999055759328,0.49598580373711787,1.3052653214190206e-07,0.22065001385892433,0.13257230781613963,0.2243724788229233,6.28286889375259,3.14254782315991
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.07500000000000001,0.14999999999999997,False,-0.4599921518038526,0.005575111717367608,0.14022001823119634,0.6815569006239071,0.499428535506305,6.4984052330741e-05,5.4987934927641646e-08,0.13877525290992135,8.615048477378373e-08,3.141910345508222,1.5732887417975854
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.07500000000000001,0.14999999999999997,False,-0.4618399471472919,1.5745629730328103e-09,0.026050440865926863,0.6943332877411003,0.49988043851209923,1.2535298404976428e-05,0.14649762676385691,0.18262971885662052,1.2007680850925926e-05,3.1413000020404303,0.00010277289711592661
