ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,0.3,True,-0.4958094299114938,7.736827978621811e-10,0.007021552611014341,0.7811265772889296,0.5152245126138153,0.36179247800282544,0.18690086254698104,0.0,0.1225934614764397,6.282750824504014
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,0.3,False,-0.5054894789902458,0.0038031656787971616,0.139208402649188,0.7780867223280612,0.5027342791223347,0.0,1.1930660570591556e-08,1.1016886382692048e-05,0.0,4.7122886679279,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,0.3,False,-0.45697654874539084,6.407140795063779e-10,0.03365012703962772,0.6818938385658938,0.49901847819233164,0.0,0.14329052050160646,0.0,1.6706030136994987e-05,3.1416952811075776,0.0
