ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.3,0.07500000000000001,False,-0.5637866266726911,1.5400740393678945e-09,0.0032097797376919733,0.9560504545073851,0.5213369748742449,0.3876291708157204,0.21862608570324324,0.42252388072145886,0.1867390030486111,0.0007661464073454027
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.3,0.07500000000000001,False,-0.4855144129934864,1.973945433782769e-09,0.0023908784942017493,0.7527739220824889,0.516091160875351,0.00011355419669850653,0.1804861767273569,0.19519935275438685,0.2559864092120948,1.5714343801411508
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.3,0.07500000000000001,False,-0.46766596541468647,0.00035655119369931324,0.11059910938556,0.697792242059983,0.49322442743180095,0.05440965025030581,9.425895854398014e-07,0.13029908197467419,0.16762551589838873,0.7499662708712722,4.041045657636282
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.3,0.07500000000000001,False,-0.4891623032414818,0.04212603068236256,0.12775950255890373,0.7714980238627717,0.5017302663652803,4.9414765653732484e-05,0.3889515321279938,3.7796443617510445e-05,2.949818445063812e-10,4.711993456087283,1.5713749013544869
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.3,0.07500000000000001,False,-0.4780168360031233,1.3382080472989413e-09,0.015145636872090563,0.7355711356854387,0.5014748439775739,2.189231293882875e-05,0.15490123429046287,0.1960095050057088,6.938930200931808e-05,3.1413996628722725,6.282841605655645
