ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,0.14999999999999997,False,-0.4811494007292447,2.6931050044808614e-10,0.007133053495477625,0.7442338045010971,0.5181579446064777,0.3081231400876316,0.1842020871396052,0.0,0.12124664183672375,0.000356144769790931
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,0.14999999999999997,False,-0.5054894772452666,0.0009507942998417938,0.13920961859880732,0.7780990583376188,0.5027422513201116,0.0,4.202303516276373e-08,2.29356277291759e-05,0.0,4.712184024202624,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,0.14999999999999997,False,-0.456976552241674,2.0891129462220984e-09,0.03364989483904229,0.6818944011221251,0.4990185903771648,0.0,0.143289974836498,0.0,0.00014148985073416097,3.1414257114435333,0.0
