ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.3,-0.3,False,-0.438410637758292,9.57736307093052e-10,0.10234759390382983,0.6326635640206273,0.4961283909512186,6.595283051352707e-05,0.13301993915080224,0.17950981084059167,0.05330894085714269,1.5693456399808954
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.3,-0.3,False,-0.4687125602158343,2.2007116652297924e-10,0.0018974306537831937,0.7360890209819799,0.5227135118389756,9.763810351726132e-06,0.20439358659666007,0.20670922281182436,0.323756752459428,1.570813037252085
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.3,-0.3,False,-0.46407411524298897,2.1255080478697893e-09,0.0038795519300470196,0.6989216479908004,0.5112355856013961,0.14074366557258355,0.1960646304559187,0.17173287283258104,7.359315719129844e-06,1.874481249509613,3.6348630978278655
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.3,-0.3,False,-0.5178272644712633,0.038015661066778214,0.08911202866325678,0.8131566810012257,0.49935705737219,0.19483950321510068,7.45379075128838e-09,1.8255965548191755e-05,2.224625594848817e-09,4.712158436804556,3.1418870160754406
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.3,-0.3,False,-0.45697654901793416,1.3242230247464347e-09,0.033640007608637244,0.6818956784591865,0.49901884656356665,1.5488055291446035e-05,0.14328873717824164,2.8246266999543135e-06,2.476429637968125e-05,3.1417659962366464,1.5707481129947236
