ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.22500000000000003,0.3,False,-0.4509294880488137,4.3207453862805984e-10,0.08579574681614682,0.6634074883149086,0.5060642894249432,0.2403671079628352,0.1525931179046832,0.26251464101932337,0.05838376121058703,1.9297542372329745e-05
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.22500000000000003,0.3,True,-0.4572504885672437,2.0999091919610946e-09,0.0036656856186566607,0.6873986781278806,0.5164617201700832,0.2274647898326695,0.18469263103702055,0.18120366235722568,0.23442755611582394,3.1418093863113254
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.22500000000000003,0.3,False,-0.4716697655161927,0.0007549694141751136,0.08145569013769022,0.7206047911626424,0.48705650330788636,1.6893654641858546e-08,0.3197887810867599,0.1229665338334624,4.85343406941563e-05,6.282880895043734,1.5708643131800084
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.22500000000000003,0.3,False,-0.5134000760008597,0.023962076615953613,0.10248849911360924,0.8020385104926377,0.5008840777297081,0.18092699301159182,0.014507213814423103,1.751612488384846e-05,1.5803476582920695e-09,4.712210733967743,3.141712782338895
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.22500000000000003,0.3,False,-0.45697654616356864,5.780184722328686e-09,0.03360900867795762,0.6819030300221156,0.4990236619855354,8.874843618328354e-05,0.14328902645424002,7.590113173971957e-05,3.336616474464149e-05,3.1416510267822915,1.5705546774708283
