ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.3,-0.22499999999999998,True,-0.4811378306974117,1.855638858867332e-09,0.0022584006116774134,0.7402466997097761,0.5065849563046179,0.16455943758993224,0.15587799960626128,0.19324233640150906,0.21414265547033942,3.1414564098290843,3.1434842254340842,3.14082632134317
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.3,-0.22499999999999998,True,-0.5079739114229155,3.6065125320378704e-09,0.004930647347422972,0.805736694472225,0.5131431308076982,0.05846662079190305,0.2802627045651992,0.1691366195574559,0.31167237367136663,2.012441588120595,3.144151352274891,4.2087775600716775,5.295530419264159
