ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.3,-0.07500000000000001,True,-0.4753631505176601,3.2595505049394653e-09,0.0028591923860957196,0.7220827796247243,0.5029701793886009,0.13602678527721604,0.1457519123123539,0.1852611047037184,0.17907206363546663,3.1412759030203166,3.1430510552712176,3.1409487092574415
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.3,-0.07500000000000001,True,-0.5223193386732471,2.640805805880143e-09,0.0030516637096591795,0.8445105317506165,0.5158732443735515,0.07757576136253835,0.33743285400194745,0.18092234213324632,0.3359121634553353,1.9796594629086026,3.145584762333157,4.2131916001315135,5.29765944976846
