ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.3,0.22500000000000003,True,-0.46839211295822053,3.8953707307775205e-09,0.004657256818790828,0.7002594617493364,0.49745301563930594,0.09732971986474737,0.1324074997402812,0.1729040171598579,0.128645247130508,3.1424605533911896,3.146397771797724,3.1406317478016317
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.3,0.22500000000000003,True,-0.5683398761582475,3.6104284736972723e-09,0.0022718709137232963,0.9577014622099894,0.5134135114148209,0.10803178305309069,0.4378454633630483,0.197996112003105,0.37285349760198355,1.948678327228612,3.147053679321831,4.203404668219177,5.308102560363436
