ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,-0.15,True,-0.46798881881626525,3.3586573921105524e-09,0.010318723279114853,0.7034526623736358,0.5150802229701013,0.2073010036760388,0.17066455108856068,0.0,-0.11786324054542108,3.1414246581876997,0.0,3.1425552937527543
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,-0.15,True,-0.47653485957710473,6.847176416015992e-10,0.0017013944455510962,0.7487505455637816,0.5195757316706088,0.0,0.1957098274003374,0.0,-0.29684754141220604,3.141489530748227,-0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,-0.15,True,-0.46334521773080833,8.520739305695774e-10,0.03136539996551121,0.6914559124748756,0.5111067543170331,0.0,-0.2051418998096164,0.16248451860302918,0.0,1.981758198616019,3.141482515778943,0.0,0.0
