ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,0.3,True,-0.5044519382849386,2.4004958463323644e-09,0.0044506807437175635,0.7888368741220136,0.5371770064240035,0.21297946212951646,0.11992461567008174,0.32106251585684314,0.19256495108543636,3.1413915637216414,-0.00024069145420754215,-0.0015083306495242896
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,0.3,True,-0.4838743304313917,1.945897761124828e-09,0.004235716245438837,0.7498640282363457,0.51695476885987,0.11475840485049967,0.26268915872455006,0.1456958823298014,0.2780297260980899,2.0943476333712256,3.14348627227269,4.154418404590728,5.334603354816991
