ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.22499999999999998,-0.15,False,-0.535087767386035,1.7394392277463001e-09,0.003332781405284896,0.8886764726557356,0.5230982659778806,0.00015136012591671077,0.21376625208659136,0.40628475106026257,0.18100918471685226,1.5704904798927588
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.22499999999999998,-0.15,True,-0.47500485947783444,1.89922970475237e-09,0.002481030302818117,0.7253094358993502,0.509673006578743,0.1765339704380508,0.1644643631347993,0.1908786700133951,0.2189338706229665,3.141501469607198
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.22499999999999998,-0.15,True,-0.49517009294391334,1.168735849720472e-09,0.003757333652669332,0.7744773237118272,0.517076511867068,0.07880543995501417,0.29997086706116594,0.18154689216096254,0.3078096269104751,1.9673493113585183,5.27731222978835
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.22499999999999998,-0.15,False,-0.5054894797799886,0.0262119333230143,0.13920777059544656,0.7780913276131151,0.5027372543137374,1.3588799835873022e-05,1.1092685769931165e-08,1.1618098786747577e-05,1.339583832749014e-09,4.712300311868987,4.712250936544497
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.22499999999999998,-0.15,False,-0.4723728250243003,2.3548456146037255e-09,0.017525115535197325,0.7212768363648031,0.5011035690257138,2.7901162572194817e-06,0.15232737395410026,0.19190378548012038,8.862183470929789e-05,3.1417494089403935,6.282132352912467
