ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.22500000000000003,0.14999999999999997,True,-0.4453783753633755,2.7701982868339343e-10,0.09173219738349686,0.6476885083148506,0.5032313370698765,0.16427795705994175,0.14544776427588163,0.22294991812527848,0.05597588869172243,0.0011107935667622989
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.22500000000000003,0.14999999999999997,True,-0.46787372190110466,1.9766528992568228e-09,0.002616723530115483,0.7226466841735535,0.5216976414818558,0.28078040292344464,0.20178110740018723,0.19599213035439123,0.29671673493253037,3.1418184622757837
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.22500000000000003,0.14999999999999997,True,-0.45566204616565487,1.153633879437231e-09,0.003753136084948553,0.6853074935947423,0.5145720861873724,0.1389203568550047,0.25966582603210026,0.17523771608666708,0.2636017389356101,1.8945810403729624,5.229196003263357
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.22500000000000003,0.14999999999999997,False,-0.511969634752167,0.02213923129254638,0.10127739040296956,0.8005983814536701,0.5007612225177642,0.17805763322054924,0.06948117630555417,7.090034248666277e-05,8.727607248015801e-10,4.711625326307672,3.1427903871224863
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.22500000000000003,0.14999999999999997,False,-0.4440305596843305,1.339937177390069e-09,0.06916212868371227,0.6498310491724433,0.4956206455365198,5.222376384363905e-05,0.13322499930860704,0.16157403954013297,2.9568745247140944e-05,3.141606229199296,6.283016798600942
