ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.22500000000000003,-0.3,False,-0.45580571316946733,0.03784885876897379,0.053864247745709214,0.5902898434633673,0.4748705497017061,0.0500390817030027,0.12420640376687256,0.321491429889294,0.00036372745478477353,2.9438771151302463
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.22500000000000003,-0.3,True,-0.5287176366400295,1.5366869326507943e-09,0.0016451567660059289,0.8924305388582808,0.5201659151494504,0.38458518458695323,0.23213572746904235,0.22426350968500422,0.41397744174768986,3.1416915431694226
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.22500000000000003,-0.3,False,-0.4615163820320681,4.398077816240594e-06,0.005468755921927239,0.6897526680237274,0.5104214791720113,0.11701237408955982,0.18565636587650708,0.16632028944368865,0.010001040012587632,1.9127489583701416,3.6875505121580034
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.22500000000000003,-0.3,False,-0.5141314143301042,0.023998471411198777,0.10421417792146369,0.8026428274851388,0.5010936856138676,0.1789896637429933,1.945969729799657e-08,2.453120259707231e-05,1.8261862300139597e-09,4.712141206821121,3.1417531224248663
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.22500000000000003,-0.3,False,-0.45697653695368984,1.2951768953689093e-09,0.03363911931099126,0.6818853882577289,0.4990137088681325,2.606144471989369e-05,0.14329185042580686,0.0001359285112656483,4.15464103774299e-05,3.1415588897866815,1.5698479015607858
