ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.22499999999999998,0.0,True,-0.530327437341875,4.992233731034108e-10,0.0034941357169674366,0.8750777975119945,0.5232602841310398,0.0,0.21157266905175312,0.4007340741570691,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.22499999999999998,0.0,True,-0.4690693041258468,7.447153225544536e-10,0.003215153759098089,0.7061546211084238,0.5053988472167942,0.14500132046226424,0.15364374886461674,0.18188554951092678,0.0,3.141672654896809
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.22499999999999998,0.0,False,-0.46882093194578983,6.05639519402643e-06,0.005655900865822201,0.708713951279579,0.5134673860292842,0.0690668674475953,0.0,0.16787642912549325,0.010000539714494577,1.9678211462629147,3.7228111023681967
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.22499999999999998,0.0,False,-0.5054894793195842,0.02526113646203151,0.13920757124336744,0.7780896855099199,0.5027361937248166,1.0917394220544274e-05,0.0,1.526631731760264e-05,4.1323922062019847e-10,4.712267438160925,4.712238261595889
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.22499999999999998,0.0,False,-0.4723728237921763,1.0522275986061885e-09,0.01752801402929245,0.7212734055498257,0.5011036356853857,4.947731835060748e-07,0.15232695362876117,0.191886641402329,0.0,3.1416599374230394,6.282088269429733
