J2,J3,Energy,Sigma,A1,A2,A3,L,mL
0.0,-0.3,-0.6622954520299094,3.876031746125827e-09,0.5242743694590888,0.0,0.142227180765003,1.7786533825352926,1.778641253798384
0.0,-0.09999999999999998,-0.6211037721722055,1.0864446688820152e-10,0.5246164656553063,0.0,0.15466981929806617,1.8029125479446702,1.8029011963312231
0.0,0.10000000000000003,-0.5815047503320494,4.5586091510635284e-11,0.5246121927010523,0.0,0.1678758508239001,1.8307787897634087,1.8307681320874625
0.0,0.3000000000000001,-0.5437210559228705,3.15192159148301e-09,0.5241567579373646,0.0,0.18160931301660957,1.8623826557085175,1.8623725561600328
0.0,-0.19999999999999998,-0.6415148779964375,2.616188464687814e-09,0.5244729750760596,0.0,0.14832909735414435,1.7903162506244006,1.7903045095239458
0.0,5.551115123125783e-17,-0.6010909075681301,1.2325951644078287e-26,0.5246643945245096,0.0,0.14459380172483172,1.8163835322126964,1.816372539941285
0.0,0.2,-0.562372821766294,5.038813200325804e-10,0.5244436422113661,0.0,0.17466942948029823,1.8460950342938074,1.8460846548355574
0.0,-0.25,-0.6518607752986594,1.4093333058436364e-09,0.524377610529336,0.0,0.1452386645616935,1.78436498600392,1.7843530550188946
0.0,-0.15000000000000002,-0.6312613431415908,1.2104362969066165e-09,0.5245533100857622,0.0,0.1514503123946665,1.79650101591591,1.796489472195149
0.0,-0.050000000000000044,-0.611045766012108,2.392356048589806e-11,0.5246525738445289,0.0,0.15789372303115498,1.8095358256450682,1.8095246567371452
0.0,0.04999999999999993,-0.5912427406662695,9.3512261746141e-11,0.5246502065440067,0.0,0.16451602280976538,1.8234597600095743,1.823448938223415
0.0,0.1499999999999999,-0.571880342058156,1.0717631025215633e-10,0.5245429570069862,0.0,0.17129202740786054,1.8383248802879741,1.838314349824496
0.0,0.24999999999999983,-0.5529853766836166,3.793990529729311e-09,0.5243205593585971,0.0,0.17816406626239234,1.8541426281601585,1.8541323932190634
0.0,-0.27499999999999997,-0.6570672389931562,7.013084094249966e-09,0.5243366372538727,0.0,0.1437337282230147,1.7815109726037017,1.7814989434273178
0.0,-0.22499999999999992,-0.6466765061220565,3.9892878167483227e-10,0.5244336561715213,0.0,0.1467824043104161,1.7873338282338378,1.7873219929933086
0.0,-0.17499999999999988,-0.6363763406736542,6.028130405508312e-10,0.5245227985080332,0.0,0.14990173581555516,1.7934036063511452,1.793391957071002
0.0,-0.12499999999999983,-0.6261703370247484,1.4990321731738701e-10,0.5245894147479471,0.0,0.15306823367154704,1.7996835435186962,1.7996721023038236
0.0,-0.07499999999999979,-0.6160620990141104,1.1394249477284156e-10,0.5246365770267682,0.0,0.15629825467744077,1.806191842799382,1.8061805832665143
0.0,-0.024999999999999745,-0.6060552207504895,1.5031507174855376e-11,0.5246609757327803,0.0,0.15949891031483976,1.8129297291216175,1.812918649584317
0.0,0.0250000000000003,-0.5961532682243302,2.6226500956823184e-11,0.5246617752452366,0.0,0.16285935485719014,1.8198971360668115,1.8198862297984324
0.0,0.07500000000000034,-0.586359758479577,3.5664522018372834e-11,0.524634143438429,0.0,0.16619437916145105,1.827088549555182,1.8270778106348775
0.0,0.1250000000000004,-0.5766781390836306,2.910880561410025e-10,0.5245820168954671,0.0,0.16954350295664067,1.8345210742209728,1.834510465614745
0.0,0.17500000000000043,-0.5671117688267766,5.228291656910129e-10,0.5244996986631485,0.0,0.1729705222782834,1.8421889489797865,1.8421784947700852
0.0,0.22500000000000048,-0.5576638961064044,8.355549055977874e-10,0.5243859206111244,0.0,0.1764306574448459,1.8500916340632998,1.8500813277490762
0.0,0.2750000000000005,-0.5483376407461742,1.2687847252611507e-09,0.5242365880381754,0.0,0.17991123894628758,1.8582185670750446,1.8582084020986809
0.0,-0.2875,-0.6596786549950819,1.7975528146461535e-09,0.5242997399029261,0.0,0.14298285916367615,1.7800529454292573,1.7800408667818035
0.0,-0.26249999999999996,-0.6544612609702813,1.359852802965253e-09,0.5243584176450365,0.0,0.14444327031361945,1.782943221693018,1.7829312421654966
0.0,-0.23749999999999993,-0.649265839109326,3.411632853090814e-09,0.524402629832422,0.0,0.14603229199407497,1.7858256673539343,1.7858137843805828
0.0,-0.2124999999999999,-0.6440928341541283,2.375267573626056e-09,0.5244517913599522,0.0,0.14750527976858632,1.7888198148893535,1.788808027295718
