J2,J3,Energy,Sigma,L,A1,A2,A3,B1,B2
-0.3,-0.3,-0.4790891676052964,1.543231205576231e-09,0.7212786833000528,0.49997742005197554,-0.07480528645441566,-0.10609371600895842,-0.1374309874086137,-0.19846814073554558
-0.3,-0.15,-0.48094020048543484,6.910162179619938e-14,0.7261441227377707,0.49943799621124096,-0.07333272247660523,-0.116282460014092,-0.13657930194979612,-0.20259231440157222
-0.3,0.0,-0.483181238535001,7.073690976429602e-13,0.7320891273535814,0.4985558517640157,-0.07134966754717731,-0.11875170937393434,-0.1354377454714425,-0.207390090188027
-0.3,0.14999999999999997,-0.48594288457372903,4.701214219314293e-14,0.7395570700603412,0.49713404482599033,-0.06853565687784416,-0.14330160660977803,-0.13386722508072962,-0.21306199534209808
-0.3,0.3,-0.48942450708881224,3.509449799397197e-13,0.7493517284795101,0.49479032286635105,-0.0642328586736747,-0.16200656491925294,-0.1316217244475561,-0.21999868833747743
-0.15,-0.3,-0.46973577370287495,2.544862306373301e-13,0.6994332921822961,0.501871643839004,-0.0844489553501781,-0.08997896042105338,-0.14165862206160892,-0.18875376380761644
-0.15,-0.15,-0.4710679779377039,1.179800726948658e-13,0.7028805606991376,0.5016167607699032,-0.08330460603270654,-0.09868754505808791,-0.14095301251353598,-0.19241883905152102
-0.15,0.0,-0.472683661352719,1.4273708524933426e-13,0.7070880625894291,0.5011422413304042,-0.08177325631600717,-0.10041472204956106,-0.14000828537081517,-0.19670017518190736
-0.15,0.14999999999999997,-0.47467807101865644,1.2256617556733106e-13,0.7123301250350474,0.500315275803129,-0.07966803335918791,-0.1218124461078453,-0.1387180894161713,-0.20175263758148376
-0.15,0.3,-0.4771923289139727,1.344073008296007e-13,0.7190377797866875,0.4989067634451009,-0.07666968991329529,-0.1375554653427555,-0.13691227045316595,-0.2077932832963214
0.0,-0.3,-0.46204306289145036,3.078198461702286e-14,0.6821229114018245,0.5033494711329649,-0.07762930957510233,-0.07387854129586915,-0.14669848173925198,-0.2690936926352067
0.0,-0.15,-0.46294131636927144,2.665770184470304e-15,0.68440688689196,0.503302778135913,-0.07541821365830699,-0.08104624749170787,-0.14611773104751047,-0.25331825516044315
0.0,0.0,-0.46403156787275723,2.4227535522598225e-15,0.6871926832306897,0.5031317756938842,-0.07758113671009031,-0.0819528870883037,-0.1453471663990139,-0.2500436214184468
0.0,0.14999999999999997,-0.46537958439876315,9.170127862343149e-16,0.6906595803279297,0.5027519762369577,-0.0768152930913347,-0.10020163976334548,-0.14430104153327783,-0.20569839819829022
0.0,0.3,-0.4670835332685945,1.189506849757466e-14,0.6950826372463048,0.5020151199208631,-0.07652326940136552,-0.11333139338555465,-0.14284266623750863,-0.1883096773597256
0.14999999999999997,-0.3,-0.4562229895270375,7.17830794080337e-07,0.6695145180989714,0.5041990479112669,-0.11187038295637405,-0.058066959822659116,-0.15299686170154897,-0.16943291758256726
0.14999999999999997,-0.15,-0.4567747825129138,8.338954039662061e-14,0.6712904232442313,0.5044620522022659,-0.1116514170855617,-0.06349049934957446,-0.1524902805026905,-0.17144098665412383
0.14999999999999997,0.0,-0.45744328970979886,1.2717374542008707e-13,0.6729480568460929,0.5044914026903577,-0.11072833472386588,-0.06401582988025625,-0.15187723218652444,-0.1743995506213386
0.14999999999999997,0.14999999999999997,-0.4582687790835081,3.8261476775284854e-14,0.6750049707001237,0.5044244391972595,-0.10949368148013162,-0.07839738223750416,-0.1510577682854123,-0.17795933138191888
0.14999999999999997,0.3,-0.4593117971424955,8.121469675496824e-14,0.6776213192991565,0.5041804417677396,-0.10779041161249786,-0.08867751598187115,-0.14992911740870835,-0.1823127897683535
0.3,-0.3,-0.45266436495177115,2.507701966569011e-13,0.6638183661006477,0.5047113037024857,-0.13367730672803382,-0.04227081141067883,-0.16096348460082083,-0.15900733784710364
0.3,-0.15,-0.4529573970843854,2.519272004998908e-13,0.6645069622492489,0.5048459866614244,-0.13314499251642792,-0.046213243702297915,-0.16059470361125136,-0.1608120967528751
0.3,0.0,-0.45331059707730154,4.915137075834903e-13,0.6653379921904252,0.5049735246875149,-0.13246816591338412,-0.046595975456305457,-0.16012705068942673,-0.16295972115411014
0.3,0.14999999999999997,-0.45374431367158913,7.122105070603217e-14,0.6663616120138437,0.5050793064630335,-0.1315850493304759,-0.056746549239236596,-0.15951852488924043,-0.16555578646246405
0.3,0.3,-0.4542891018304671,5.10430774586498e-13,0.6676511100504848,0.5051328494880469,-0.13039506559782985,-0.0639963190340663,-0.15870276892031954,-0.16875256906383437
