J2,J3,Energy,Sigma,L,A1,A2,B1,B2,B3
-0.3,0.0,-0.4917328857386144,7.529458354394656e-09,0.7586134924367198,0.5108466732325552,0.1859742659417948,0.0951397731602979,0.1199337516718098,0.000214035340396
-0.3,0.3,-0.4917183672372234,1.5138867948610442e-12,0.758615246914085,0.5108594859074739,0.1859354548196597,0.0951472405477271,0.1199112564641997,0.0002233511109917
0.0,0.0,-0.5196795699394612,1.047355784222782e-09,0.8475262786926825,0.5227282118270759,0.1404670238380155,0.1157470898175344,0.237992903522422,0.000194449079207
0.0,0.3,-0.5194318933463326,2.6680599482406264e-08,0.8471497001710236,0.5227037610569137,2.5101767531570475e-05,0.1156854415472716,0.0079076188661208,0.0024337450860622
0.3,0.3,-0.5884245215891984,4.452105571442529e-11,1.020653337677664,0.5167476420114041,0.4002362973974335,0.1280052355937106,0.1220324834608604,0.0002896909189089
-0.3,-0.3,-0.4917030637801185,3.587846081254011e-08,0.758659472219902,0.5108718438282729,0.185927965131825,0.095187413308908,0.1198243273388761,0.0002125469038423
-0.15,-0.3,-0.5011515520230719,2.112910730851581e-08,0.7906180137450772,0.5179909808657333,0.2421566151945802,0.1050575465767491,0.1178435791955416,0.0002278467456258
-0.15,0.0,-0.5011326970830035,1.9746798511439763e-09,0.7906151120821935,0.5179966481835578,0.2420793651319048,0.1050630481913699,0.1178987583560692,0.0001561827346511
-0.15,0.1499999999999999,-0.5011511955953698,0.0017067156651292,0.7893696090908259,0.5177804009160444,0.2456241067707131,0.1049191718914473,0.1175771495525914,1.0621091385286056e-08
-0.15,0.3,-0.5011146103507846,1.9194362642373213e-08,0.790584417101056,0.5179958547211287,0.2420687110537708,0.1050612074426952,0.11789572033342,0.0002185390842612
0.0,-0.3,-0.5196378793533617,1.7152402892746034e-08,0.847497544454106,0.52269770374209,0.2372218231910128,0.1157495447963911,0.1146252490871027,0.0002136865506931
0.0,0.1499999999999999,-0.5196114555592766,2.671801451589345e-09,0.8474666304211526,0.5226994654247821,0.18496371166439,0.1157400668757889,0.2118538536717862,8.857742357500331e-05
0.1499999999999999,-0.15,-0.5490729429255032,7.033170824650508e-06,0.925319522155962,0.5215271995720567,0.3577078554369943,0.1237119860285919,0.121200059004757,0.0002350634696932
0.1499999999999999,0.0,-0.549143570613037,2.081707733635955e-13,0.9270936742118256,0.521986997305286,0.3612418588115815,0.123648487612258,0.1206691281857626,0.0001177539760857
0.1499999999999999,0.1499999999999999,-0.5491068674076056,1.3799740110964006e-06,0.926719177729634,0.5220223559236662,0.3603721199400887,0.1237273960822084,0.122307272359285,0.0006329322022435
0.1499999999999999,0.3,-0.5490524480921961,6.787407208940399e-06,0.925319931404208,0.5215450083987747,0.3577028085808027,0.1236955778764813,0.1213492472228422,5.675897243353146e-05
0.3,-0.3,-0.5884894104280926,0.0163773744263729,1.0191310753679188,0.5170854483089965,0.3960770624938494,0.1280010590305901,0.1222644468233408,0.0002873399522677
0.3,0.0,-0.5885357698232914,6.643327649559213e-13,1.020769305320703,0.5167670268280967,0.4003175177039766,0.1280096828649496,0.1220666765751577,1.7800070748031257e-06
0.3,0.1499999999999999,-0.3748414568590039,0.0011049429175522,0.4000000110970937,0.2218551428986477,0.0552031902404273,0.0367546851803552,0.0082493676884498,-0.0007031253066186
-0.3,-0.15,-0.49175456962834185,0.0010408449561463418,0.7579016531852054,0.5106501350182717,0.18686159537383235,0.09503368104467791,0.11985685275719726,0.0006403943731099431
-0.3,0.1499999999999999,-0.4917151547598272,1.4554904178756045e-11,0.7586107177084987,0.5108588600941545,0.1859282161806801,0.0951468376504311,0.1199117802718663,0.0005463568710278
-0.15,-0.15,-0.5011727396095529,0.0016940443855111,0.7894039657936733,0.5177800566560491,0.2456571532276701,0.1049183197613623,0.117630664748193,0.0005212766664273
0.0,-0.15,-0.5196613741316964,0.0026091741490829,0.8474223432138462,0.5226712806219518,-0.0409443137377588,0.1158309484835985,0.0891200170235975,0.0005567575261642
0.1499999999999999,-0.3,-0.4000000110983164,1.9437272448262703e-12,0.4000000110970937,0.0,8.314655003911018e-07,0.0,2.183359350071685e-06,2.545378365413204e-07
0.3,-0.15,-0.5885039316721228,0.0040832041773561,1.0203412264763654,0.5168373162040376,0.3991726298853542,0.1280035309917899,0.1220944750362785,0.0006702499056602
