J2,J3,Energy,Sigma,L,A1,A2,B1,B2,B3
-0.3,0.0,-0.4917328857386144,7.529458354394656e-09,0.7586134924367198,0.5108466732325552,0.1859742659417948,0.09513977316029792,0.11993375167180984,0.0002140353403960426
-0.3,0.3,-0.49173235811818206,0.004129648307855128,0.7554535596690253,0.5099109810068834,0.18924725447928703,0.09466838041935587,0.11965536589412376,0.0002200654710176095
0.0,0.0,-0.5196795699394612,1.047355784222782e-09,0.8475262786926825,0.5227282118270759,0.14046702383801557,0.11574708981753443,0.237992903522422,0.00019444907920701724
0.0,0.3,-0.5194318933463326,2.6680599482406264e-08,0.8471497001710236,0.5227037610569137,2.5101767531570475e-05,0.11568544154727167,0.007907618866120897,0.0024337450860622144
0.3,0.3,-0.582251585986502,0.036891888106366774,0.9253254788930366,0.4965061669708779,0.29514519649690324,0.1328848980761613,0.14370273295558164,0.00012436251916661208
-0.3,-0.3,-0.4917030637801185,3.587846081254011e-08,0.758659472219902,0.5108718438282729,0.18592796513182502,0.09518741330890809,0.11982432733887613,0.00021254690384239777
-0.3,0.3,-0.49167261959917463,2.840050811397738e-08,0.7586026898932626,0.5108449806503088,0.18584431551649983,0.09518201367288304,0.11991677069382226,0.00025605133229136704
-0.15,-0.3,-0.5011515520230719,2.112910730851581e-08,0.7906180137450772,0.5179909808657333,0.24215661519458023,0.10505754657674918,0.11784357919554164,0.00022784674562580207
-0.15,0.0,-0.5011326970830035,1.9746798511439763e-09,0.7906151120821935,0.5179966481835578,0.2420793651319048,0.10506304819136998,0.11789875835606929,0.00015618273465114416
-0.15,0.14999999999999997,-0.4696620194165287,0.29049947756261396,0.48874274185153305,0.35086103329101503,0.4046672343652834,0.062146172137068384,0.2006529714603839,7.0269657746034605e-09
-0.15,0.3,-0.5011146103507846,1.919436264237321e-08,0.790584417101056,0.5179958547211287,0.24206871105377087,0.10506120744269523,0.11789572033342001,0.00021853908426125112
0.0,-0.3,-0.5196378793533617,1.7152402892746034e-08,0.847497544454106,0.52269770374209,0.23722182319101287,0.11574954479639113,0.11462524908710273,0.0002136865506931996
0.0,0.14999999999999997,-0.5196114555592766,2.671801451589345e-09,0.8474666304211526,0.5226994654247821,0.18496371166439,0.11574006687578897,0.2118538536717862,8.857742357500331e-05
0.14999999999999997,-0.15,-0.5490729429255032,7.033170824650508e-06,0.9253195221559619,0.5215271995720567,0.35770785543699435,0.12371198602859196,0.12120005900475707,0.00023506346969325015
0.14999999999999997,0.0,-0.5490592605925271,6.85501617603651e-06,0.9253198459185655,0.521541313554873,0.3577430431394202,0.12370890806922276,0.12142904552589831,0.00011526914596899073
0.14999999999999997,0.14999999999999997,-0.5363999373438874,0.017218881003873896,0.8803871365831689,0.5323517541070638,0.13301412938612173,0.12608707918734527,0.17567742726835373,0.00017452440968170903
0.14999999999999997,0.3,-0.5490524480921961,6.787407208940399e-06,0.925319931404208,0.5215450083987747,0.3577028085808027,0.12369557787648136,0.12134924722284227,5.675897243353146e-05
0.3,-0.3,-0.5825031523711547,0.021371779574061986,0.9253198799848668,0.4953772037492302,0.29906767586702143,0.13299916577794466,0.14400304042341802,2.340199226324572e-06
0.3,0.0,-0.5825282900180424,0.021372000620482924,0.9253198981076777,0.49532101906440695,0.29933232281926514,0.13306300907461843,0.14405579939589588,1.8462269309787477e-06
0.3,0.14999999999999997,-0.3911370057863677,4.003164963091904,0.3251949659636712,0.13139955571528786,0.17623073627937783,0.13744823248803267,0.31539621583897715,0.00017541378828051153
-0.3,-0.15,-0.4917515173880862,0.001042664807487815,0.7578791125554413,0.5106432077076859,0.186865385295887,0.09503378431214878,0.11984752558519417,0.000545388630082655
