J2,J3,Energy,Sigma,L,A1,B1,B2
-0.3,-0.3,-0.5333186721823635,5.550194337086066e-13,0.865731302630686,0.5197315802925769,-0.1096906348654359,0.16902023966389276
-0.3,-0.15,-0.5333186721824889,1.7364453336410673e-13,0.8657315261300647,0.5197318106001271,-0.1096906505807306,0.1690195950315047
-0.3,0.0,-0.5333186721824889,1.7364453336410673e-13,0.8657315261300647,0.5197318106001271,-0.1096906505807306,0.1690195950315047
-0.3,0.14999999999999997,-0.5333186721824889,1.7364453336410673e-13,0.8657315261300647,0.5197318106001271,-0.1096906505807306,0.1690195950315047
-0.3,0.3,-0.5333186721824889,1.7364453336410673e-13,0.8657315261300647,0.5197318106001271,-0.1096906505807306,0.1690195950315047
-0.15,-0.3,-0.5253279432402657,1.1920165506630665e-13,0.845297514142584,0.5197495810806749,-0.10573147559254464,0.15713207240244265
-0.15,-0.15,-0.5253279432402657,1.1920165506630665e-13,0.845297514142584,0.5197495810806749,-0.10573147559254464,0.15713207240244265
-0.15,0.0,-0.5253279432402657,1.1920165506630665e-13,0.845297514142584,0.5197495810806749,-0.10573147559254464,0.15713207240244265
-0.15,0.14999999999999997,-0.5253279432402657,1.1920165506630665e-13,0.845297514142584,0.5197495810806749,-0.10573147559254464,0.15713207240244265
-0.15,0.3,-0.5253279432402657,1.1920165506630665e-13,0.845297514142584,0.5197495810806749,-0.10573147559254464,0.15713207240244265
0.0,-0.3,-0.5184999147043439,1.0124451869272218e-14,0.8278871354570492,0.5191977471533296,-0.10156950592288311,0.15973938721479758
0.0,-0.15,-0.5184999147043445,0.0,0.8278871695991578,0.5191977698800965,-0.1015695145368285,0.15967799197459936
0.0,0.0,-0.5184999147043445,0.0,0.8278871695991578,0.5191977698800965,-0.1015695145368285,0.15967799197459936
0.0,0.14999999999999997,-0.5184999147043445,0.0,0.8278871695991578,0.5191977698800965,-0.1015695145368285,0.15967799197459936
0.0,0.3,-0.5184999147043445,0.0,0.8278871695991578,0.5191977698800965,-0.1015695145368285,0.15967799197459936
0.14999999999999997,-0.3,-0.5127845233685163,1.2618945721053274e-13,0.8135297168511074,0.5181493619229507,-0.09741828164468691,0.13156121738915538
0.14999999999999997,-0.15,-0.5127845233685163,1.2618945721053274e-13,0.8135297168511074,0.5181493619229507,-0.09741828164468691,0.13156121738915538
0.14999999999999997,0.0,-0.5127845233685163,1.2618945721053274e-13,0.8135297168511074,0.5181493619229507,-0.09741828164468691,0.13156121738915538
0.14999999999999997,0.14999999999999997,-0.5127845233685163,1.2618945721053274e-13,0.8135297168511074,0.5181493619229507,-0.09741828164468691,0.13156121738915538
0.14999999999999997,0.3,-0.5127845233685163,1.2618945721053274e-13,0.8135297168511074,0.5181493619229507,-0.09741828164468691,0.13156121738915538
0.3,-0.3,-0.5080701076552674,8.682805051993522e-13,0.8020004137233182,0.5167502485156221,-0.0934624308700689,0.11917337359636711
0.3,-0.15,-0.5080701076552674,8.682805051993522e-13,0.8020004137233182,0.5167502485156221,-0.0934624308700689,0.11917337359636711
0.3,0.0,-0.5080701076552674,8.682805051993522e-13,0.8020004137233182,0.5167502485156221,-0.0934624308700689,0.11917337359636711
0.3,0.14999999999999997,-0.5080701076552674,8.682805051993522e-13,0.8020004137233182,0.5167502485156221,-0.0934624308700689,0.11917337359636711
0.3,0.3,-0.5080701076552674,8.682805051993522e-13,0.8020004137233182,0.5167502485156221,-0.0934624308700689,0.11917337359636711
