ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.07500000000000001,-0.3,True,-0.45687094990149235,2.598547344095877e-09,0.03361470903883152,0.6716422951728777,0.5067349003744979,0.1349026641889335,0.15210140542589845,0.22963469608578682,-0.09917890057430868,3.141732558685339,0.00023234072263768937,3.141346709937419
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.07500000000000001,-0.3,True,-0.45269940976720924,4.4100687351552205e-09,0.060992319526843246,0.6638876836702199,0.5041668246745177,0.07656758242317986,-0.13761564432448892,0.14947994391805627,0.2029839418147227,1.9641032532240188,3.141661619631752,4.167839817958948,5.209747315116979
