ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,0.22500000000000003,True,-0.49104472091700846,3.284950910518514e-10,0.016262972976901192,0.764082756541069,0.5187765795611483,0.33644882533239284,0.18566841530815176,0.0,-0.12882091362323028,3.141578286312906,0.0,3.1418089221758176
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,0.22500000000000003,True,-0.45532277002937355,4.853320841619011e-10,0.006641165579256771,0.6793015968972269,0.5063450425462073,0.0,0.15971455761625564,0.0,-0.16899713238640776,3.1415808120200683,-0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,0.22500000000000003,True,-0.49801371177866305,6.499349038187825e-10,0.004118875967273207,0.7931476866379485,0.5188761367656567,0.0,-0.3943238464718585,0.1942256393655041,0.0,1.936977041261223,3.1415644765941106,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.0,0.22500000000000003,True,-0.4775874692337493,4.099593648029355e-09,0.04569107843351949,0.7338593948550343,0.5078683981363257,-0.258141638069026,0.16319798756666748,0.0,0.0010154872708031115,5.385789190613275,3.141934120733346,0.0,1.6838751884492293
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,0.0,0.22500000000000003,True,-0.4718744786637739,9.568807386605846e-10,0.023174405403995957,0.710622060133143,0.5168109141171733,0.0,0.1726618059914246,0.0,0.10915509428095511,3.1416440044832434,3.1409581263497057,0.0,0.0,6.184898014012662
