ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.07500000000000001,0.0,True,-0.4623478972989564,8.318372058444256e-10,0.03368652221778516,0.6857451954792467,0.513050681371633,0.0,0.16314686624345037,0.2691737242278466,0.0,3.141522196588993,0.0002594009891234355,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.07500000000000001,0.0,False,-0.4633611076378987,7.169708007269491e-05,0.005143946535326154,0.6978566268569618,0.5145314999451326,0.10008375378987852,0.0,0.17076049741858626,0.22999955618133905,1.8960006719996254,3.1484684062806267,3.7001352168470567,5.499994435624943
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.07500000000000001,0.0,True,-0.4667017345138964,1.9808700932660145e-09,0.0020406072821205997,0.7233192992258405,0.5181766644110821,0.24683360456212622,0.1918997554547206,0.19698159584527888,0.0,3.1416814027953106,3.1562620352525332,3.1417394814379764
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.07500000000000001,0.0,True,-0.46234789459950837,5.888324266211891e-10,0.0336408161264396,0.6857615811630451,0.513055219998122,0.0,0.16315156525147415,0.26908252242990066,0.0,3.1418300896667515,3.1414725437974296,0.00025903138614014694,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,0.07500000000000001,0.0,True,-0.4598578203747898,3.1211581529905808e-09,0.04065242810585899,0.6916168271385641,0.511054996212418,0.0010453953864607846,0.16687157772456465,0.212808678866868,0.0,5.5458289945807335,3.1419768676646247,1.1971026231259736,2.3092275414912997,0.0
