ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.15,-0.07500000000000001,True,-0.5054198013039114,1.125446401236776e-09,0.009181172008987309,0.8046168173665459,0.5245329909229732,0.31088207039630394,0.20040086231805784,0.3681250760668094,-0.165527431008855,3.141632812351445,6.55746103152598e-05,3.1431918135755685
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.15,-0.07500000000000001,True,-0.4707917789931768,1.8774160752112656e-09,0.002012895273694971,0.7239009923947746,0.5108942293319715,0.16106701215515598,0.17115559403966862,0.19319667213619549,-0.2286895278709216,3.1416983947496075,3.2189446112820166,3.140086257555654
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.15,-0.07500000000000001,True,-0.48832709284116105,6.088149063318916e-09,0.004096632697346457,0.7572852260213637,0.5173687388490013,0.10067448873476925,-0.29907331166870477,0.17983194047564774,0.30233393443861883,1.9659148729407585,3.141217278751405,4.143451526505195,5.274410438667378
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.15,-0.07500000000000001,False,-0.46496085532849774,2.331929903379133e-08,0.024374795604773944,0.7042710871899417,0.5120263035561289,-0.15234446833676699,0.16974808528293472,0.0011387396158469842,0.0011333046829228033,5.589567876880194,3.1414847932558425,0.7753306361862258,1.6449097432249893
