ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,-0.3,True,-0.444504391597188,2.3274545422543888e-09,0.09119783978024609,0.6421229298091359,0.4976753211825055,0.07880790692257364,0.13413836773552504,0.17961427891243328,-0.0709084734978694,3.1415492593603034,-0.0007256841610719086,3.1454049746180344
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,-0.3,False,-0.4535221175932696,0.00030811470561842633,0.04522824173872253,0.6654888014181544,0.5026887239443496,0.05001722147918838,-0.12893643985537012,0.14717660130010138,0.10000028120704017,1.8866040850191403,3.118997789204827,5.175320731672271,6.138974567596889
