ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.07500000000000001,-0.07500000000000001,True,-0.4867653887394223,1.7591443007653628e-09,0.01182827497457929,0.7537954059877223,0.5219433067500613,0.27407775153197506,0.18834285295436204,0.33574633284605687,-0.14578482028824438,3.141611172668711,0.0006554617731678211,3.140898103511132
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,-0.07500000000000001,-0.07500000000000001,True,-0.4695319684853273,1.2078057503362167e-09,0.002026519258137083,0.7240922406571745,0.5138618467457363,0.18149663384277642,0.1786967248436006,0.1949675975334103,-0.24601126699183032,3.1415408614871447,3.2147445793572347,3.1422964182832063
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.07500000000000001,-0.07500000000000001,True,-0.47693811861147484,3.0363697857373745e-09,0.005677151463237897,0.7281864615343719,0.516269362306802,0.0990568517045903,-0.27028130468742567,0.17496269402359205,0.2833613858650362,1.964884513128161,3.1419006197998955,4.160304995416307,5.263938239960468
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,-0.07500000000000001,-0.07500000000000001,False,-0.46496122338148865,1.5181971519590756e-08,0.023541392150425253,0.7043248627479155,0.5120508317795627,-0.15178635997043669,0.16982742350070418,0.0015215764157741896,0.0011258663585337336,0.6905018913636964,3.141581039314201,5.503505349841756,1.6448794216364202
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA1,phiB1,phiA2,phiB2,phiB3
q0_2,-0.07500000000000001,-0.07500000000000001,True,-0.4737952711792656,3.2592377051317633e-09,0.015269287723474391,0.723578127401033,0.5105523793713849,0.12332417393847836,0.1656582411215194,0.23502527597344294,0.1343031840275567,5.4513330420712975,3.142275464598235,2.7208275208479358,2.1933835676146756,3.2345349459070674
