J2,J3,Energy,Sigma,A1,A2,A3,L,mL
-0.3,0.0,-0.7474729265114739,2.5281766523356925e-08,0.5243715737306027,0.04390020348539088,0.0,1.8020676501429145,1.801782431106182
-0.3,-0.3,-0.8224729265114739,2.5281766523356925e-08,0.5243715737306027,0.04390020348539088,0.0,1.8020676501429145,1.801782431106182
-0.3,-0.15,-0.7849729265114739,2.5281766523356925e-08,0.5243715737306027,0.04390020348539088,0.0,1.8020676501429145,1.801782431106182
-0.3,0.0,-0.7474729265114739,2.5281766523356925e-08,0.5243715737306027,0.04390020348539088,0.0,1.8020676501429145,1.801782431106182
-0.3,0.14999999999999997,-0.7099729265114739,2.5281766523356925e-08,0.5243715737306027,0.04390020348539088,0.0,1.8020676501429145,1.801782431106182
-0.3,0.3,-0.672472926511474,2.5281766523356925e-08,0.5243715737306027,0.04390020348539088,0.0,1.8020676501429145,1.801782431106182
-0.15,0.0,-0.673800217088049,4.704711510420696e-08,0.5245076954255199,0.050442559488267105,0.0,1.8086601062803986,1.8083798992360258
-0.15,-0.3,-0.748800217088049,4.704711510420696e-08,0.5245076954255199,0.050442559488267105,0.0,1.8086601062803986,1.8083798992360258
-0.15,-0.15,-0.711300217088049,4.704711510420696e-08,0.5245076954255199,0.050442559488267105,0.0,1.8086601062803986,1.8083798992360258
-0.15,0.0,-0.673800217088049,4.704711510420696e-08,0.5245076954255199,0.050442559488267105,0.0,1.8086601062803986,1.8083798992360258
-0.15,0.14999999999999997,-0.6363002170880491,4.704711510420696e-08,0.5245076954255199,0.050442559488267105,0.0,1.8086601062803986,1.8083798992360258
-0.15,0.3,-0.5988002170880491,4.704711510420696e-08,0.5245076954255199,0.050442559488267105,0.0,1.8086601062803986,1.8083798992360258
0.0,0.0,-0.6005875773270746,0.0,0.5245444636378851,0.0,0.0,1.8173492329984084,1.817075323699565
0.0,-0.3,-0.6755875773270745,0.0,0.5245444636378851,0.0,0.0,1.8173492329984084,1.817075323699565
0.0,-0.15,-0.6380875773270746,0.0,0.5245444636378851,0.0,0.0,1.8173492329984084,1.817075323699565
0.0,0.0,-0.6005875773270746,0.0,0.5245444636378851,0.0,0.0,1.8173492329984084,1.817075323699565
0.0,0.14999999999999997,-0.5630875773270746,0.0,0.5245444636378851,0.0,0.0,1.8173492329984084,1.817075323699565
0.0,0.3,-0.5255875773270746,0.0,0.5245444636378851,0.0,0.0,1.8173492329984084,1.817075323699565
0.14999999999999997,0.0,-0.5281118421092255,9.861851285920709e-10,0.5244214548182767,0.07118905196469594,0.0,1.829577797381441,1.8293119894170777
0.14999999999999997,-0.3,-0.6031118421092254,9.861851285920709e-10,0.5244214548182767,0.07118905196469594,0.0,1.829577797381441,1.8293119894170777
0.14999999999999997,-0.15,-0.5656118421092254,9.861851285920709e-10,0.5244214548182767,0.07118905196469594,0.0,1.829577797381441,1.8293119894170777
0.14999999999999997,0.0,-0.5281118421092255,9.861851285920709e-10,0.5244214548182767,0.07118905196469594,0.0,1.829577797381441,1.8293119894170777
0.14999999999999997,0.14999999999999997,-0.4906118421092255,9.861851285920709e-10,0.5244214548182767,0.07118905196469594,0.0,1.829577797381441,1.8293119894170777
0.14999999999999997,0.3,-0.45311184210922545,9.861851285920709e-10,0.5244214548182767,0.07118905196469594,0.0,1.829577797381441,1.8293119894170777
0.3,0.0,-0.45690881654357063,3.304440274657905e-09,0.5237972457222988,0.0887805043512927,0.0,1.8475457719521529,1.847290543599355
0.3,-0.3,-0.5319088165435706,3.304440274657905e-09,0.5237972457222988,0.0887805043512927,0.0,1.8475457719521529,1.847290543599355
0.3,-0.15,-0.4944088165435706,3.304440274657905e-09,0.5237972457222988,0.0887805043512927,0.0,1.8475457719521529,1.847290543599355
0.3,0.0,-0.45690881654357063,3.304440274657905e-09,0.5237972457222988,0.0887805043512927,0.0,1.8475457719521529,1.847290543599355
0.3,0.14999999999999997,-0.41940881654357065,3.304440274657905e-09,0.5237972457222988,0.0887805043512927,0.0,1.8475457719521529,1.847290543599355
0.3,0.3,-0.3819088165435706,3.304440274657905e-09,0.5237972457222988,0.0887805043512927,0.0,1.8475457719521529,1.847290543599355
