ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,0.14999999999999997,True,-0.48114940095564107,3.8052217414051526e-10,0.007132177577871734,0.7442271722029937,0.5181584435616177,0.30801886327894223,0.18419909696238654,0.0,0.12120578375856252,6.282932386047839
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,0.14999999999999997,False,-0.5054894772452666,0.0009507942998417938,0.13920961859880732,0.7780990583376188,0.5027422513201116,0.0,4.202303516276373e-08,2.29356277291759e-05,0.0,4.712184024202624,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,0.14999999999999997,False,-0.456976552241674,2.0891129462220984e-09,0.03364989483904229,0.6818944011221251,0.4990185903771648,0.0,0.143289974836498,0.0,0.00014148985073416097,3.1414257114435333,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.0,0.14999999999999997,True,-0.4606436799471921,4.313324868547629e-11,0.003615695734514204,0.6892389935555855,0.5105812619222652,0.0,0.165929822008464,0.0,0.19460841915656968,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.0,0.14999999999999997,True,-0.48685309619458694,2.3251268828783245e-11,0.0056588530179557785,0.7635868339522236,0.5194047353657202,0.0,0.3563286693753469,0.18941016674427755,0.0,1.9411162489923244,0.0
