ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.22500000000000003,-0.15,True,-0.44167739404010115,1.8589823943239585e-09,0.09177480822510609,0.6393544711912277,0.49748008976736013,0.09295334551541362,0.13629359779547087,0.18450029912756596,0.05526484322231429,-0.0020049145421071435
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.22500000000000003,-0.15,True,-0.5044425823821322,1.567509134936609e-09,0.0018023767877851985,0.829606599866331,0.5226816808435812,0.3616947980637006,0.22594352298475204,0.2179793198424628,0.3888406174899625,3.141527526247809
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.22500000000000003,-0.15,False,-0.5142114808814948,0.022456185657040228,0.10517556308534172,0.8020785128437613,0.5012461070808497,0.17398106127801438,3.0520699245695226e-08,4.582107323997109e-05,1.0511917725164466e-09,4.711975717160049,3.141864188868583
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.22500000000000003,-0.15,False,-0.4682432049642498,5.686371043810233e-06,0.003595503439344806,0.7111580404230717,0.5158674051012322,0.13778458420014325,0.24158509797881833,0.1785561264262383,0.010000439181957303,1.9239807151548451,3.7140494898982555
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.22500000000000003,-0.15,False,-0.4881873752434214,1.1802607528990332e-09,0.026451831328830708,0.7473912877916054,0.5025523559005728,8.865060597812446e-05,1.4491280580980481e-05,0.1939294096618807,0.00015096517677104515,1.5711508979045363,2.524882420518182e-05
