ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.3,-0.07500000000000001,True,-0.5480097457822288,2.507265510134668e-09,0.003102576660513963,0.9200066136887196,0.5231921441200837,0.36031823134446533,0.21738329728997544,0.4126686440061798,0.18643337230112692,6.282894200504712
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.3,-0.07500000000000001,True,-0.47348670427817907,2.1381635939052947e-09,0.002924753233042436,0.7168043391732405,0.5043920913975248,0.1426802967177246,0.15196671113622748,0.1849945827410835,0.18364582378399685,3.140950891172806
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.3,-0.07500000000000001,True,-0.5178574228492548,2.1525760771226112e-09,0.0026410368100956145,0.8339174347423001,0.517783943255982,0.08738712507992435,0.353318043008892,0.1905222699198066,0.3371388848329043,1.9560544694888309,5.2893358830292
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.3,-0.07500000000000001,False,-0.50548947510276,0.045146378788575435,0.13920401323613374,0.7780822298838638,0.5027313813141755,8.974798201999423e-06,1.9693506492224344e-08,4.0909338014344376e-05,1.090412510285077e-09,1.571174502338746,1.5705708993459777
