ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.22500000000000003,-0.07500000000000001,True,-0.44217842664380363,4.3005749903611413e-10,0.09333109531325025,0.6402393605596298,0.4985715933228829,0.10446698654295365,0.13789356784637022,0.19058799479412025,0.05500740669237633,6.2743295410184485
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.22500000000000003,-0.07500000000000001,True,-0.4935788019457932,1.3825801149473023e-10,0.0019216993932002417,0.7998177321442606,0.5234620426695538,0.34643814703847253,0.2216189623716676,0.21387408795813512,0.37177109410980175,3.141514355731513
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.22500000000000003,-0.07500000000000001,False,-0.4732307472303562,6.534845921423589e-06,0.0030236889251351834,0.7269916201491603,0.5185880899155393,0.14966522615086467,0.2758119373574644,0.18572548244553636,0.010000881748277957,1.926622017899759,3.7251394051916504
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.22500000000000003,-0.07500000000000001,False,-0.51422901101719,0.02206601112626844,0.1054205928698839,0.801931280449847,0.5012834992618938,0.17269498401152417,8.845670712576137e-08,2.6965023448261016e-05,2.5716939966446972e-09,4.712092069185953,3.142015249774192
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.22500000000000003,-0.07500000000000001,False,-0.45697653235448166,2.582177451199486e-09,0.033636099409145005,0.6818974932332403,0.49902322867091725,3.531995028793755e-05,0.14329585139228104,0.00015858707620447499,0.00019245213143803674,3.1416600512005424,1.5697443676949279
