ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,-0.07500000000000001,True,-0.4680618938396022,9.29228875432003e-10,0.007990676910277742,0.708263274529964,0.5156507261727802,0.22888699059477383,0.17431045665119518,0.0,0.11388667493090986,6.281537109005215
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,-0.07500000000000001,False,-0.45999202070297773,0.0005147964097349247,0.14013916191654038,0.6812942052000454,0.49934175333177555,0.0,2.0773936970025894e-07,0.1389888646214507,0.0,3.1415277557931907,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,-0.07500000000000001,False,-0.45697654641997054,4.6430373681140506e-10,0.033649940275610524,0.6818951916379377,0.49901917643564064,0.0,0.14329015596640382,0.0,0.00015129944837475437,3.1415581920129267,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.0,-0.07500000000000001,True,-0.4729836979547505,2.156357006374908e-10,0.002287017587025333,0.7307713104718401,0.5188214304302112,0.0,0.18843023458422248,0.0,0.27431409665166556,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.0,-0.07500000000000001,True,-0.46674572028291683,2.621166376336745e-10,0.012441555895669401,0.7028552768229472,0.5139526513983247,0.0,0.23906845117660505,0.16919554005148843,0.0,1.9625504318413771,0.0
