ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.3,-0.07500000000000001,-0.4403881945209383,1.3740349892708352e-05,0.0892307196682778,0.6323322658260699,0.4958949273720065,0.10000069039340843,0.13026887867029696,0.16968106349122056,-0.0580248736536544,3.1415357973825473,0.0002845732218039644,3.1432697491968282
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.3,-0.07500000000000001,-0.4646367069120395,0.0002227689482984185,0.033584061245199574,0.6954780552985614,0.5116868442567059,0.0010017145605303868,-0.22187970417338232,0.1644629514469071,0.05000005672625962,2.1243978208470122,3.142367611594149,2.6940666247981375,3.9628592013733765
