ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,-0.15,-0.22499999999999998,-0.49670690306590515,1.7471553533967168e-09,0.009323215898233535,0.7806754382876343,0.5230037274714946,0.27228279403120986,0.19489797831608213,0.34805165548963907,-0.16261138037639825,3.141746671063507,0.00010138304836760657,3.141076848787266
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,-0.15,-0.22499999999999998,-0.4612608242288971,4.533708214699396e-05,0.028805852424548396,0.6844470787775837,0.5086361927438141,0.0011374328425516056,-0.17947480450375508,0.15763543296695354,0.050000291796887114,1.8991414444268973,3.1411518026810943,2.5813022264834666,3.8336308396635594
