ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,-0.22499999999999998,-0.44471048511268474,7.769583554761136e-05,0.09575104756224866,0.6421625265627892,0.4980791132017227,0.10000020127830472,0.1344472780199347,0.17763949495522735,-0.0703622582535608,3.1415678705831493,0.0005154747139760627,3.1416056762796845
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,-0.22499999999999998,-0.4585059045748264,8.98758277411377e-05,0.10241106033745219,0.67855173036585,0.5057725554544097,0.0010018412484631978,-0.1544660918645367,0.15274353664547918,0.05000021479171202,2.2418867424088087,3.142045884000675,2.769761055228966,4.072188099944332
