ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.14999999999999997,0.07500000000000001,-0.45472873732571734,2.041871082949385e-09,0.06686714245108483,0.6657822036671461,0.5088155884346484,0.1855577819270199,0.15352178750331086,0.24505450159714023,-0.08067310434810358,3.141601517992252,0.0005827638100285216,3.1477440641454315
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.14999999999999997,0.07500000000000001,-0.47802202141655337,8.046201151629007e-05,0.004072436710476158,0.7373681775629786,0.5188534164065285,0.0016036207177904382,-0.31644105081081675,0.1832907755740019,0.05000050292039826,1.960228146579819,3.1422578967329917,2.5879364777367813,3.873158364873891
