ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.3,-0.22499999999999998,-0.44012565311206875,2.3459066645930786e-09,0.10123608486527065,0.6326308646580304,0.4947825456015159,0.063716113308757,0.1286942220264475,0.16468274376946865,-0.06063017906175206,3.141731691960411,0.0007362307695786918,3.13613761266663
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.3,-0.22499999999999998,-0.45816811987695094,0.00016353559635215044,0.09989502080386363,0.6779097730923018,0.5058517161258822,0.005528441017428984,-0.15371284051745857,0.15297274103642367,0.0500000387581544,2.22151359122397,3.1449457377200547,2.7960459408390625,4.067679022467688
