ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.3,-0.15,-0.44036512791210647,0.00012964764195413472,0.09405114936284752,0.6323619402989324,0.4947332702221361,0.10000000517288819,0.12848191673364967,0.1617884964318437,-0.05980785228422453,3.1415838100202826,0.0010991142424787111,3.141093381294108
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.3,-0.15,-0.46003820898051734,0.00017305853211663816,0.09862100761028998,0.6828007098891651,0.5068700713663247,0.0010008867032141877,-0.1689954835882479,0.15515457691757711,0.05000001155784539,2.2611417055193,3.142198957745473,2.775847169157077,4.073428715868252
