ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,-0.15,-0.4449126862888609,3.4406890053513583e-06,0.09882838865471687,0.6423190326840975,0.4992305323680875,0.10000048306412827,0.1363277682092949,0.18639455725583645,-0.06809944133883061,3.1412351459444308,0.0005368518137970974,3.1418578841696796
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,-0.15,-0.46764423985860476,0.00013440744625451591,0.00408663831260493,0.7075523937170062,0.5155076639586883,0.1327402361166564,-0.23591356719172457,0.17667085482418746,0.05000006369673987,1.9639218803908525,3.141707876047855,4.141579972931987,3.8893463374127526
