ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.22500000000000003,-0.07500000000000001,-0.44532971428940993,1.8882065088066766e-09,0.10113770152759471,0.6430788873439794,0.5004207174582819,0.10663332611457262,0.13812293013188948,0.19347137875921355,-0.06688190469930995,3.14175169425843,6.861027444988743e-05,3.1450602296077808
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.22500000000000003,-0.07500000000000001,-0.4657657682759146,0.00013048601970172424,0.014816015704121917,0.6992478054766412,0.5133301185810829,0.001005084064320691,-0.23300963787171863,0.16758408435577526,0.0500003542791094,2.0400855583715094,3.1419581022808356,2.6469260728586153,3.916377781703308
