ans,J2,J3,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.14999999999999997,0.22500000000000003,-0.46084166154646156,7.935672440999517e-10,0.06301416967780736,0.6831457782691595,0.511487653086697,0.25213105442590006,0.16065475946376734,0.2800807661696176,-0.08309248583544941,3.141590744793193,0.00016292254578376808,3.141459108282086
ans,J2,J3,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.14999999999999997,0.22500000000000003,-0.49724711012485223,0.00010167390110491054,0.0026476168485331983,0.7915735733290787,0.5189164651709941,0.001850386360279177,-0.39410669988880104,0.1943482987703597,0.050000142640935746,1.9434907533516645,3.142245999786937,2.5627719101427853,3.868116546900387
