J2,J3,Energy,Sigma,A1,A2,A3,L,mL
-0.3,0.0,-0.7510909074662417,1.6302150903687046e-09,0.524659347534179,0.0,0.0,1.816366059573683,1.8163550674107651
-0.09999999999999998,0.0,-0.6510909074662419,1.6302151082992159e-09,0.524659347534179,0.0,0.0,1.8163660595740643,1.8163550674107651
0.10000000000000003,0.0,-0.5510909074662418,1.6302150903687046e-09,0.524659347534179,0.0,0.0,1.816366059573683,1.8163550674107651
0.3000000000000001,0.0,-0.4510909074662417,1.6302150903687046e-09,0.524659347534179,0.0,0.0,1.816366059573683,1.8163550674107651
-0.19999999999999998,0.0,-0.7010909074147966,2.453339325525244e-09,0.5246582031249942,0.0,0.0,1.8163620976393857,1.8163511055001813
5.551115123125783e-17,0.0,-0.6010909075679904,2.2419161189714948e-12,0.5246642073616328,5.857944488525392e-05,0.0,1.8163828842556309,1.816371891988968
0.2,0.0,-0.5010909050343839,7.48475901969917e-09,0.5246642073616328,5.857944488525392e-05,0.0,1.8163828842566552,1.816371891989011
-0.25,0.0,-0.7260909074949731,1.1705158383384862e-09,0.5246601179242163,0.0,0.0,1.8163687266575828,1.8163577344781772
-0.15000000000000002,0.0,-0.6760909074949728,1.1705158155481816e-09,0.5246601179242164,0.0,0.0,1.8163687266575639,1.8163577344781774
-0.050000000000000044,0.0,-0.6260909074949728,1.1705158155481816e-09,0.5246601179242164,0.0,0.0,1.8163687266579573,1.8163577344781774
0.04999999999999993,0.0,-0.5760909074949729,1.1705158003546455e-09,0.5246601179242165,0.0,0.0,1.8163687266580997,1.816357734478178
0.1499999999999999,0.0,-0.5260909074949729,1.1705158155481816e-09,0.5246601179242165,0.0,0.0,1.8163687266580997,1.816357734478178
0.24999999999999983,0.0,-0.47609090749497285,1.1705158155481816e-09,0.5246601179242165,0.0,0.0,1.8163687266580997,1.816357734478178
-0.27499999999999997,0.0,-0.7385909053139683,3.606658866542972e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.22499999999999992,0.0,-0.7135909053139684,3.606658849675393e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.17499999999999988,0.0,-0.6885909053139678,3.6066588623260775e-08,0.5246406555175773,0.0,0.0,1.8163013479678864,1.8162903562048482
-0.12499999999999983,0.0,-0.6635909053139686,3.6066588623260775e-08,0.5246406555175773,0.0,0.0,1.8163013479670533,1.8162903562048482
-0.07499999999999979,0.0,-0.6385909053139682,3.606658849675393e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.024999999999999745,0.0,-0.613590907561119,1.1218026521819338e-10,0.5246630705846467,0.0,0.0,1.8163789487436275,1.8163679565008288
0.0250000000000003,0.0,-0.5885909075611189,1.1218026286640383e-10,0.5246630705846467,0.0,0.0,1.8163789487437432,1.8163679565008288
0.07500000000000034,0.0,-0.563590907561119,1.1218026286640388e-10,0.5246630705846467,0.0,0.0,1.8163789487436275,1.8163679565008288
0.1250000000000004,0.0,-0.538590907561119,1.1218026286640383e-10,0.5246630705846466,0.0,0.0,1.8163789487439463,1.8163679565008288
0.17500000000000043,0.0,-0.5135909075611191,1.1218026286640384e-10,0.5246630705846466,0.0,0.0,1.8163789487439463,1.8163679565008288
0.22500000000000048,0.0,-0.488590907561119,1.1218026286640384e-10,0.5246630705846466,0.0,0.0,1.8163789487439463,1.8163679565008288
0.2750000000000005,0.0,-0.46359090756111887,1.1218026286640384e-10,0.5246630705846467,0.0,0.0,1.8163789487436275,1.8163679565008288
-0.2875,0.0,-0.7448409053139684,3.606658849675393e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.26249999999999996,0.0,-0.7323409053139682,3.6066588623260775e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.23749999999999993,0.0,-0.7198409053139678,3.6066588623260775e-08,0.5246406555175773,0.0,0.0,1.8163013479678864,1.8162903562048482
-0.2124999999999999,0.0,-0.7073409053139683,3.606658866542972e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.1874999999999999,0.0,-0.6948409053139686,3.6066588623260775e-08,0.5246406555175773,0.0,0.0,1.8163013479670533,1.8162903562048482
-0.16249999999999987,0.0,-0.6823409053139684,3.6066588623260775e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.13749999999999984,0.0,-0.6698409053139682,3.606658849675393e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.11249999999999982,0.0,-0.6573409053139678,3.6066588623260775e-08,0.5246406555175773,0.0,0.0,1.8163013479678864,1.8162903562048482
-0.0874999999999998,0.0,-0.6448409053139683,3.606658866542972e-08,0.5246406555175773,0.0,0.0,1.8163013479674428,1.8162903562048482
-0.06249999999999978,0.0,-0.6323409075540196,2.2577168770828042e-10,0.524666272737085,0.0,0.0,1.8163900345686674,1.8163790422573975
-0.037499999999999756,0.0,-0.6198409075540197,2.2577167769915308e-10,0.524666272737085,0.0,0.0,1.8163900345692794,1.8163790422573975
-0.012499999999999734,0.0,-0.6073409075634846,7.432307712231342e-11,0.5246654721598865,0.0,0.0,1.8163872629775133,1.81637627068293
0.012500000000000289,0.0,-0.5948409075634848,7.432308286510863e-11,0.5246654721598865,0.0,0.0,1.8163872629772309,1.81637627068293
0.03750000000000031,0.0,-0.5823409075634849,7.432307329378351e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.06250000000000033,0.0,-0.5698409075634852,7.43230752080485e-11,0.5246654721598866,0.0,0.0,1.8163872629771125,1.8163762706829307
0.08750000000000036,0.0,-0.557340907563485,7.432307520804839e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.11250000000000038,0.0,-0.544840907563485,7.432307520804844e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.1375000000000004,0.0,-0.5323409075634851,7.432307712231342e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.16250000000000042,0.0,-0.5198409075634849,7.43230752080484e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.18750000000000044,0.0,-0.5073409075634849,7.43230752080484e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.2125000000000004,0.0,-0.494840907563485,7.432307520804839e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.23750000000000054,0.0,-0.4823409075634848,7.432307520804839e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.26250000000000046,0.0,-0.46984090756348484,7.43230752080484e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
0.2875000000000006,0.0,-0.4573409075634849,7.43230752080484e-11,0.5246654721598866,0.0,0.0,1.8163872629770856,1.8163762706829307
