ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.0,-0.15,True,-0.46924012479375465,6.165285098554939e-10,0.0183478009029466,0.7047195683386186,0.5156570868435285,0.20785319278332212,0.17070145726629593,0.0,-0.12111124865073171,3.14157067518995,0.0,3.1427308478279192
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiA2,phiB2
q0_1,0.0,-0.15,True,-0.4753275874439642,4.095297867588934e-10,0.003503546588738786,0.7476811482218637,0.5189735065689186,0.0,0.19537553159843812,0.0,-0.29440863735890105,3.141649347640206,-0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.0,-0.15,True,-0.46349776444933793,1.1351278854198559e-10,0.021076704528800064,0.6917172609388734,0.5112908757644604,0.0,-0.20588545435735203,0.16275494160614956,0.0,1.9769460276831934,3.141542375131083,0.0,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA1,phiB1,phiB2,phiB3
3x3_2,0.0,-0.15,True,-0.4641776421632519,5.826322660171153e-09,0.007785760595707703,0.7074810916603128,0.5135583882461402,-0.09066573614668938,0.1761586109465147,0.0,0.0010671658875412715,5.911939174540313,3.1419656077662146,0.0,4.760270915379377
