ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiB1,phiB2,phiA3
3x3_1,0.07500000000000001,-0.3,True,-0.45687094990149235,2.598547344095877e-09,0.03361470903883152,0.6716422951728777,0.5067349003744979,0.1349026641889335,0.15210140542589845,0.22963469608578682,-0.09917890057430868,3.141732558685339,0.00023234072263768937,3.141346709937419
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB1,phiA2,phiB2
cb1,0.07500000000000001,-0.3,True,-0.4519585610336189,2.8628071289703766e-09,0.09259654677552163,0.6618994192208792,0.5032042658905076,0.0025688224798496306,-0.1331887822064064,0.14679273083072567,0.20089742876044095,2.047932432688545,3.1411508725330073,5.755104276731503,5.26310360919541
